Data,Regione,Prodotto,Segmento,Unità_Vendute,Prezzo_Unitario,Costo_Unitario,Spesa_Marketing,Contatti_Marketing
2023-06-12,Sud,Prodotto D,Small Business,90,405.1,76.34,1242.46,434
2023-07-18,Ovest,Prodotto B,Small Business,50,256.46,185.12,1620.91,258
2024-07-12,Est,Prodotto B,Small Business,31,88.42,17.37,4213.39,95
2023-04-27,Nord,Prodotto C,Small Business,86,256.79,173.57,1428.53,152
2023-05-22,Centro,Prodotto B,Mid-Market,65,223.86,248.99,2205.18,290
2023-09-01,Centro,Prodotto A,Enterprise,7,319.72,130.04,2095.39,257
2023-02-24,Sud,Prodotto A,Enterprise,92,240.91,210.18,1139.57,138
2023-05-08,Ovest,Prodotto B,Small Business,44,107.78,122.82,3130.4,367
2024-06-16,Sud,Prodotto B,Mid-Market,38,207.58,199.36,2387.54,400
2023-02-08,Est,Prodotto D,Mid-Market,88,317.74,71.42,3117.88,552
2024-11-08,Centro,Prodotto D,Enterprise,94,473.84,17.8,1952.82,818
2024-04-10,Sud,Prodotto B,Small Business,46,13.27,134.45,3280.97,618
2024-08-08,Ovest,Prodotto A,Enterprise,66,249.9,179.64,2192.89,753
2023-11-25,Sud,Prodotto B,Small Business,6,452.95,203.13,2026.61,467
2023-11-21,Nord,Prodotto D,Enterprise,34,380.77,14.14,3067.61,181
2024-10-10,Centro,Prodotto C,Mid-Market,93,219.77,119.93,841.37,661
2024-10-02,Nord,Prodotto D,Enterprise,91,208.15,5.26,4218.24,914
2024-06-13,Nord,Prodotto B,Small Business,48,342.65,217.25,2979.65,824
2024-03-25,Sud,Prodotto B,Enterprise,50,50.83,196.44,4129.99,924
2023-07-21,Centro,Prodotto C,Small Business,81,309.56,95.07,4744.28,133
2023-06-12,Est,Prodotto D,Enterprise,42,188.2,228.63,4983.99,438
2024-03-12,Centro,Prodotto C,Small Business,38,229.06,26.97,481.07,724
2023-09-21,Est,Prodotto C,Small Business,72,10.06,34.16,1080.24,409
2023-08-28,Sud,Prodotto A,Enterprise,48,170.99,230.12,3316,237
2024-05-16,Nord,Prodotto B,Enterprise,78,94.22,157.47,4192.42,603
2024-10-29,Ovest,Prodotto D,Mid-Market,81,110.46,131.33,3907.97,440
2024-11-26,Est,Prodotto C,Enterprise,46,138.55,36.74,103.46,508
2024-04-10,Nord,Prodotto A,Small Business,88,398.57,231.24,862.28,214
2023-08-14,Sud,Prodotto C,Enterprise,59,309.84,88.72,2638.76,323
2024-04-05,Sud,Prodotto B,Enterprise,27,20.68,128.54,1391.28,806
2023-03-15,Centro,Prodotto D,Enterprise,30,163.4,165.95,251.75,332
2024-06-08,Est,Prodotto C,Enterprise,19,402.48,212.57,3960.45,364
2024-03-24,Ovest,Prodotto B,Enterprise,89,68.33,107.25,2332.61,746
2024-11-17,Est,Prodotto A,Mid-Market,84,17.75,175.56,960.53,879
2024-08-23,Est,Prodotto D,Enterprise,91,282.77,102.98,503.3,428
2023-04-05,Est,Prodotto D,Small Business,41,97.05,114.67,1314.68,784
2024-05-14,Nord,Prodotto B,Enterprise,81,80.15,138.01,861.38,596
2024-01-04,Ovest,Prodotto A,Mid-Market,97,245.25,75.85,4829.17,411
2024-04-03,Sud,Prodotto B,Enterprise,24,380.7,46.26,4002.79,108
2023-07-16,Sud,Prodotto D,Mid-Market,64,336.64,33.26,1101.89,268
2024-05-13,Centro,Prodotto B,Mid-Market,16,495.49,177.9,3234.87,717
2024-01-22,Ovest,Prodotto B,Small Business,66,349.12,83.62,4653.16,832
2024-08-21,Est,Prodotto D,Enterprise,43,313.13,210.52,265.95,102
2024-06-24,Ovest,Prodotto B,Enterprise,40,325.49,48,612.1,662
2023-04-11,Ovest,Prodotto D,Enterprise,36,353.91,140.04,1008.6,319
2023-03-21,Sud,Prodotto C,Enterprise,51,43.78,235.73,2176.93,888
2024-03-15,Nord,Prodotto A,Enterprise,68,327.71,249.46,4322.53,680
2023-06-02,Ovest,Prodotto C,Enterprise,93,467.65,87.61,2058.04,330
2024-01-29,Ovest,Prodotto C,Enterprise,78,156.98,176.09,3807.52,290
2024-03-09,Nord,Prodotto D,Enterprise,15,188.05,165.42,1929.32,352
2023-02-24,Centro,Prodotto D,Small Business,91,146.74,149.45,1174.86,598
2024-01-07,Centro,Prodotto A,Enterprise,61,243.66,146.14,238.38,196
2024-11-17,Ovest,Prodotto C,Enterprise,54,220.98,15.73,4123.31,299
2023-04-28,Nord,Prodotto B,Small Business,24,330.83,30.01,3033.27,327
2023-03-29,Sud,Prodotto C,Small Business,33,446.68,117.03,1627.38,158
2024-10-13,Est,Prodotto B,Small Business,22,86.92,144.74,4230.55,639
2023-04-20,Ovest,Prodotto A,Mid-Market,86,46.54,80.42,2870.69,789
2024-09-03,Sud,Prodotto A,Small Business,39,166.54,179.75,3862.83,136
2024-06-01,Est,Prodotto D,Enterprise,2,35.94,128.18,469.38,808
2024-10-22,Est,Prodotto B,Enterprise,60,361.79,13.85,2383.3,430
2024-07-29,Est,Prodotto A,Mid-Market,14,18.01,129.45,1900.24,849
2023-05-25,Ovest,Prodotto D,Small Business,62,90.35,84.09,4716.16,171
2024-10-12,Nord,Prodotto C,Mid-Market,45,37.4,224.89,985.68,781
2023-05-26,Ovest,Prodotto D,Mid-Market,26,103.91,99.78,2325.66,287
2024-08-25,Nord,Prodotto B,Mid-Market,32,463.59,71.02,3180.13,649
2023-05-31,Nord,Prodotto C,Enterprise,34,64.49,154.33,2932.78,411
2023-01-27,Nord,Prodotto D,Enterprise,49,42.97,54.67,3184.09,229
2023-01-26,Sud,Prodotto C,Mid-Market,1,351.86,16.64,1141.96,179
2023-04-23,Ovest,Prodotto A,Small Business,1,403.76,44.79,1310.61,654
2024-06-01,Centro,Prodotto A,Mid-Market,39,181.1,82.64,1130.58,170
2024-02-14,Nord,Prodotto A,Enterprise,48,321.3,130.11,4236.33,777
2024-05-07,Sud,Prodotto D,Enterprise,21,78.9,75.47,4754.05,638
2024-06-04,Ovest,Prodotto D,Small Business,59,124.96,70.78,2336.79,164
2024-10-06,Nord,Prodotto B,Small Business,75,247.89,113.27,400.05,202
2023-03-28,Nord,Prodotto D,Mid-Market,56,233.8,23.25,206.83,474
2023-11-30,Sud,Prodotto B,Mid-Market,85,477.29,162.37,4853.54,453
2023-10-26,Centro,Prodotto A,Small Business,76,403.48,108.74,3159.58,215
2024-10-19,Nord,Prodotto C,Enterprise,6,364.04,17.87,3775.11,322
2024-04-17,Est,Prodotto B,Mid-Market,97,33.11,109.12,3104.55,351
2023-03-05,Nord,Prodotto A,Enterprise,28,431.14,211.86,3787.9,712
2023-03-13,Sud,Prodotto A,Enterprise,52,22.91,78.22,477.41,231
2024-08-01,Centro,Prodotto A,Mid-Market,70,391.73,92.07,2529.93,157
2023-06-23,Ovest,Prodotto C,Enterprise,8,431.5,90.05,4810.14,484
2023-05-25,Est,Prodotto C,Enterprise,74,187.94,60.89,1967.41,364
2024-07-21,Ovest,Prodotto D,Mid-Market,54,121.28,41.87,2517.08,734
2024-04-28,Sud,Prodotto D,Small Business,9,294.81,37.98,1930.81,76
2024-06-09,Sud,Prodotto A,Mid-Market,22,437.04,47.62,689.05,139
2024-07-21,Centro,Prodotto D,Small Business,48,392.95,105.11,2662.67,726
2023-06-02,Sud,Prodotto B,Enterprise,83,286.92,131.8,4446.6,585
2024-03-18,Sud,Prodotto A,Enterprise,9,404.27,37.99,3115.97,730
2023-05-04,Sud,Prodotto B,Mid-Market,18,128.15,63.59,986.64,718
2024-03-01,Nord,Prodotto A,Small Business,50,167.4,68.84,4821.61,715
2024-11-18,Centro,Prodotto A,Mid-Market,1,248.68,148.99,621.87,550
2024-11-02,Est,Prodotto C,Mid-Market,43,301.77,158.88,299.37,31
2024-04-26,Nord,Prodotto C,Mid-Market,6,157.7,123.84,4573.38,173
2023-01-03,Centro,Prodotto C,Mid-Market,33,295.63,248.94,1772.72,346
2023-09-11,Nord,Prodotto C,Mid-Market,43,102.26,10.56,200.4,120
2023-01-24,Centro,Prodotto A,Small Business,33,135.78,31.36,3988.6,252
2023-03-04,Centro,Prodotto C,Enterprise,22,139.55,194.42,4686.58,958
2023-11-12,Centro,Prodotto C,Mid-Market,86,457.52,167.35,1350.61,742
2023-10-03,Ovest,Prodotto D,Small Business,72,326.55,72.33,3504.68,155
2024-07-08,Nord,Prodotto D,Small Business,35,30.66,27.42,1595.71,943
2023-09-17,Centro,Prodotto C,Mid-Market,96,465.7,109.6,3920.54,289
2023-02-26,Sud,Prodotto B,Enterprise,11,178.38,190.42,3029.35,667
2024-10-21,Centro,Prodotto B,Mid-Market,45,320.48,162.99,2986.01,300
2023-01-04,Est,Prodotto D,Enterprise,18,296.58,11.06,472.32,467
2024-06-09,Centro,Prodotto B,Enterprise,80,99.97,173.41,4654.18,465
2024-06-02,Centro,Prodotto A,Small Business,76,206.56,113.11,1332.12,368
2024-09-20,Sud,Prodotto B,Small Business,61,317.16,142.46,3905.22,684
2024-08-09,Sud,Prodotto C,Mid-Market,57,178.85,126.57,1157.96,991
2024-07-17,Sud,Prodotto C,Small Business,80,263.68,65.28,602.06,667
2024-04-25,Ovest,Prodotto D,Mid-Market,6,321.53,245.23,4049.06,367
2023-06-24,Centro,Prodotto A,Mid-Market,69,184.47,46.56,4286.95,87
2023-12-20,Est,Prodotto C,Mid-Market,14,419.01,158.7,4216.86,184
